id,rollno,name,Class,subject1,subject2 ,subject3,subject4,semester
1,,,,,,,,
2,1001,name1,Class-1,53,77,64,32,1
3,1002,name2,Class-1,43,38,27,32,1
4,1003,name3,Class-1,63,86,50,86,1
5,1004,name4,Class-1,19,50,16,60,1
6,1005,name5,Class-1,14,22,32,62,1
7,1006,name6,Class-1,6,54,43,35,1
8,1007,name7,Class-1,27,18,13,60,1
9,1008,name8,Class-1,32,47,7,61,1
10,1009,name9,Class-1,24,18,92,3,1
11,1010,name10,Class-1,42,42,25,38,1
12,1011,name11,Class-1,70,90,15,17,1
13,1012,name12,Class-1,100,87,68,29,1
14,1013,name13,Class-1,91,16,53,47,1
15,1014,name14,Class-1,38,3,10,40,1
16,1015,name15,Class-1,32,87,52,55,1
17,1016,name16,Class-1,80,63,59,34,1
18,1017,name17,Class-1,69,26,69,59,1
19,1018,name18,Class-1,12,97,36,35,1
20,1019,name19,Class-1,26,38,56,72,1
21,1020,name20,Class-1,53,73,25,94,1
22,1021,name21,Class-1,89,100,2,76,1
23,1022,name22,Class-1,71,92,61,54,1
24,1023,name23,Class-1,82,2,58,15,1
25,1024,name24,Class-1,82,71,59,79,1
26,1025,name25,Class-1,76,21,12,69,1
27,1026,name26,Class-1,83,49,98,35,1
28,1027,name27,Class-1,64,32,34,3,1
29,1028,name28,Class-1,5,65,81,44,1
30,1029,name29,Class-1,67,63,8,73,1
31,1030,name30,Class-1,26,54,55,100,1
32,1031,name31,Class-1,92,70,86,6,1
33,1032,name32,Class-1,20,79,43,11,1
34,1033,name33,Class-1,1,47,17,73,1
35,1034,name34,Class-1,98,1,46,32,1
36,1035,name35,Class-1,24,26,5,21,1
37,1036,name36,Class-1,27,77,49,68,1
38,1037,name37,Class-1,51,85,34,70,1
39,1038,name38,Class-1,18,46,25,63,1
40,1039,name39,Class-1,12,99,31,8,1
41,1040,name40,Class-1,67,30,47,58,1
42,1041,name41,Class-1,94,55,31,87,1
43,1042,name42,Class-1,25,95,20,6,1
44,1043,name43,Class-1,43,50,28,73,1
45,1044,name44,Class-1,22,46,88,78,1
46,1045,name45,Class-1,47,77,31,62,1
