id,rollno,first_name,last_name,gender,class
1,1001,Gwennie,Denes,Genderqueer,3
2,1002,Allina,Nelson,Genderfluid,4
3,1003,Kathrine,Marrill,Female,2
4,1004,Karry,Proudman,Polygender,1
5,1005,Marjy,Giacomucci,Genderqueer,3
6,1006,Vivyan,Courvert,Bigender,4
7,1007,Linell,Pickthall,Male,1
8,1008,Dela,Friese,Genderqueer,4
9,1009,Malchy,Fowley,Bigender,3
10,1010,Katusha,Halmkin,Male,3
11,1011,Letitia,Bullar,Polygender,3
12,1012,Mayne,Mongain,Non-binary,3
13,1013,Kevina,Pascoe,Bigender,1
14,1014,Devonna,Arnall,Agender,3
15,1015,Liz,Gawith,Bigender,4
16,1016,Claiborn,Mergue,Male,4
17,1017,Jaimie,Eusden,Polygender,4
18,1018,Eddy,Lubbock,Genderfluid,1
19,1019,Lily,Cray,Male,2
20,1020,Claire,Rieme,Male,3
21,1021,Teena,Rzehorz,Bigender,4
22,1022,Frederik,Danielsen,Genderqueer,3
23,1023,Zea,Schuricht,Non-binary,3
24,1024,Agathe,Beaford,Genderqueer,1
25,1025,Thorstein,Bottleson,Agender,3
26,1026,Ethel,Ceeley,Non-binary,3
27,1027,Murvyn,Bolter,Female,3
28,1028,Tammy,Jovey,Genderfluid,1
29,1029,Odella,Pamplin,Male,4
30,1030,Emelina,Laverty,Polygender,4
31,1031,Rob,Bernaert,Polygender,2
32,1032,Trish,Jacquot,Bigender,4
33,1033,Winnie,Sharratt,Female,2
34,1034,Kerwinn,Kinnear,Genderqueer,4
35,1035,Sherline,Soanes,Agender,3
36,1036,Geoff,Nixon,Female,2
37,1037,Filia,Kiloh,Non-binary,4
38,1038,Garner,Laughnan,Polygender,4
39,1039,Cornell,Donnelly,Genderqueer,4
40,1040,Jaymie,Ferruzzi,Non-binary,4
41,1041,Weidar,Rowlin,Female,4
42,1042,Chryste,Yoxall,Genderfluid,4
43,1043,Garwood,Chantrell,Agender,3
44,1044,Brinn,Thresher,Genderqueer,3
45,1045,Ase,Stennes,Female,3
46,1046,Irvin,Lemoir,Male,4
47,1047,Carlen,Quimby,Bigender,2
48,1048,Tammara,Bendin,Male,4
49,1049,Genevra,Chazelas,Female,1
50,1050,Aaren,Ketts,Genderfluid,4
51,1051,Florry,Wewell,Non-binary,4
52,1052,Marquita,Simonitto,Non-binary,1
53,1053,Jessi,Wraight,Polygender,2
54,1054,Sandor,Crauford,Genderqueer,1
55,1055,Holly,Bernardon,Agender,3
56,1056,Maggy,Kempton,Agender,3
57,1057,Ahmed,Humblestone,Non-binary,4
58,1058,Emilia,Bonsale,Bigender,1
59,1059,Brucie,Dallan,Genderqueer,3
60,1060,Rebbecca,Silcocks,Agender,2
61,1061,Patty,Meron,Polygender,1
62,1062,Cherilyn,Gjerde,Genderfluid,2
63,1063,Lilith,Heminsley,Male,2
64,1064,Noll,Setchell,Bigender,4
65,1065,Chan,Bevans,Non-binary,2
66,1066,Clarie,Loy,Agender,4
67,1067,Guthry,Hambelton,Bigender,4
68,1068,Sal,Yexley,Genderqueer,1
69,1069,Gabrielle,Brambley,Genderqueer,3
70,1070,Jacquie,Overthrow,Female,2
71,1071,Kellina,Duhig,Genderfluid,4
72,1072,Stefano,Guerriero,Polygender,3
73,1073,Michelina,Nare,Agender,1
74,1074,Carlie,Davydzenko,Non-binary,3
75,1075,Marcelle,Gee,Polygender,3
76,1076,Nikolaos,Mulles,Agender,4
77,1077,Sax,Zanetto,Male,4
78,1078,Fancie,Trewman,Agender,4
79,1079,Francine,Nordass,Polygender,1
80,1080,Evangelin,Husbands,Agender,1
81,1081,Harrie,MacDermand,Genderqueer,3
82,1082,Lewiss,Woolfoot,Female,3
83,1083,Goran,Baldin,Genderqueer,3
84,1084,Loren,Crole,Genderfluid,3
85,1085,Fergus,Chadburn,Genderfluid,3
86,1086,Melanie,McMurray,Female,2
87,1087,Juliet,Schulz,Female,1
88,1088,Marchelle,Giorgielli,Genderfluid,3
89,1089,Augustine,Sandercock,Genderqueer,4
90,1090,Othilia,Shinfield,Genderqueer,1
91,1091,Virge,Berthomieu,Non-binary,1
92,1092,Jillian,Dismore,Non-binary,3
93,1093,Florrie,Bestar,Female,3
94,1094,Joseph,McTavy,Genderqueer,1
95,1095,Johnathan,Aggus,Genderqueer,1
96,1096,Marci,Scurrell,Female,4
97,1097,Porty,Williamson,Polygender,2
98,1098,Johnath,Valenti,Non-binary,4
99,1099,Amye,Satchell,Agender,4
100,1100,Kathryne,Hothersall,Bigender,1
101,1101,Leese,Towson,Female,1
102,1102,Olga,Blanpein,Female,3
103,1103,Lazaro,Moncreif,Polygender,3
104,1104,Marena,Skurray,Non-binary,2
105,1105,Laurice,Gillard,Genderfluid,1
106,1106,Delora,Payne,Male,2
107,1107,Juana,Colquete,Male,1
108,1108,Bobbie,Skim,Genderqueer,1
109,1109,Aile,Gabbitus,Agender,1
110,1110,Antonio,Verry,Agender,3
111,1111,Leonerd,Haddeston,Male,2
112,1112,Rufe,Lillicrap,Bigender,4
113,1113,Franciskus,Haugeh,Genderfluid,1
114,1114,Hortense,Kiffin,Agender,3
115,1115,Ebeneser,Josland,Polygender,3
116,1116,Lilla,Patriche,Female,4
117,1117,Tonie,Gandar,Bigender,4
118,1118,Fredrika,Rosenfelt,Agender,1
119,1119,Garv,Soares,Agender,1
120,1120,Phil,Tomasoni,Genderfluid,2
121,1121,Blondy,Whiterod,Genderqueer,1
122,1122,Abby,McGauhy,Female,3
123,1123,Ana,Mostyn,Agender,2
124,1124,Margery,Cassy,Female,1
125,1125,Starla,Yuranovev,Female,1
126,1126,Gleda,Klimpke,Non-binary,4
127,1127,Ashlin,Enser,Genderfluid,2
128,1128,Caitlin,Aveline,Bigender,4
129,1129,Steffen,Isles,Genderqueer,4
130,1130,Ignazio,Scripture,Female,4
131,1131,Witty,Dubose,Female,3
132,1132,Cassondra,Doumenc,Bigender,4
133,1133,Isidora,Holdron,Polygender,1
134,1134,Zedekiah,Meconi,Agender,4
135,1135,Matty,Fenich,Female,4
136,1136,Manya,Sharply,Non-binary,4
137,1137,Moore,McGinlay,Bigender,3
138,1138,Pryce,Radloff,Polygender,2
139,1139,Stephanus,Bannell,Genderqueer,1
140,1140,Cookie,Hoyte,Genderfluid,2
141,1141,Maurice,Plott,Genderqueer,2
142,1142,Ariel,Antoney,Male,1
143,1143,Adelina,Duffie,Bigender,3
144,1144,Gunner,Pirrie,Non-binary,4
145,1145,Aloisia,Trewhitt,Genderqueer,3
146,1146,Victoir,Kibby,Polygender,2
147,1147,Myrna,Van der Kruis,Bigender,1
148,1148,Neddie,Taaffe,Genderqueer,4
149,1149,Herb,Fiander,Agender,4
150,1150,Gardener,Stothert,Non-binary,3
151,1151,Alberta,Kirwood,Female,1
152,1152,Rubia,Perfect,Bigender,2
153,1153,Ulises,D'Orsay,Agender,2
154,1154,Irma,Sonley,Genderqueer,4
155,1155,Wileen,Duffan,Polygender,3
156,1156,Dolph,Welsby,Female,2
157,1157,Becki,Heball,Genderfluid,3
158,1158,Bernette,Dmisek,Agender,3
159,1159,Jesse,Meehan,Agender,2
160,1160,Marcus,Ungaretti,Agender,3
161,1161,Juliann,Fountaine,Bigender,2
162,1162,Darleen,Butland,Agender,2
163,1163,Elisa,Townshend,Male,1
164,1164,Brittni,Allsobrook,Genderfluid,3
165,1165,Brook,Windibank,Non-binary,4
166,1166,Evangelina,Rymer,Agender,3
167,1167,Griselda,Toffaloni,Female,3
168,1168,Sheff,Bacup,Bigender,1
169,1169,Walther,Axleby,Non-binary,3
170,1170,Cobby,Gorger,Agender,1
171,1171,Kale,Mobley,Female,4
172,1172,Bathsheba,Jandac,Polygender,3
173,1173,Conrado,Gostage,Agender,2
174,1174,Roderick,Renak,Non-binary,1
175,1175,Amberly,Walasik,Bigender,2
176,1176,David,Reisenberg,Non-binary,3
177,1177,Salem,Clackers,Genderfluid,2
178,1178,Kitty,Leifer,Genderqueer,2
179,1179,Janey,Comiam,Female,2
180,1180,Brigid,Arnley,Bigender,4
181,1181,Perry,Cherry,Genderqueer,2
182,1182,Joceline,Thomassin,Male,4
183,1183,Wat,Panther,Genderfluid,4
184,1184,Decca,Ayrs,Agender,2
185,1185,Hillel,Erat,Male,1
186,1186,Adella,Hallawell,Polygender,1
187,1187,Horatio,Spada,Genderfluid,2
188,1188,Tiena,Jellyman,Polygender,2
189,1189,Frasco,Carlesso,Genderfluid,2
190,1190,Cathrine,Foux,Male,4
191,1191,Fair,Verissimo,Male,3
192,1192,Molly,Madgett,Genderqueer,4
193,1193,Korry,Elsy,Agender,2
194,1194,Billy,Raspin,Non-binary,4
195,1195,Huberto,Garstan,Male,4
196,1196,Sanders,Gathercole,Bigender,2
197,1197,Ina,Mannix,Polygender,3
198,1198,Farrell,Armell,Non-binary,1
199,1199,Rikki,Blunt,Bigender,4
200,1200,Odetta,Aizikovich,Genderfluid,4
201,1201,Peyter,Beeson,Male,2
202,1202,Elmo,Emanuelov,Male,1
203,1203,Birdie,Rousell,Male,1
204,1204,Bernard,Yanyshev,Agender,1
205,1205,Forester,Combe,Agender,4
206,1206,Eddy,Glackin,Bigender,2
207,1207,Kele,Croster,Bigender,2
208,1208,Carmel,Dillamore,Bigender,2
209,1209,Jannel,Jakubovits,Bigender,3
210,1210,Vidovic,Paddefield,Genderqueer,3
211,1211,Jess,Killingsworth,Female,3
212,1212,Clarinda,Beretta,Genderfluid,4
213,1213,Alene,Fassan,Polygender,3
214,1214,Allx,Gother,Male,4
215,1215,Antons,Favelle,Genderqueer,1
216,1216,Amabel,Dugood,Polygender,4
217,1217,Grete,Janosevic,Bigender,4
218,1218,D'arcy,Dorgon,Bigender,2
219,1219,Mallory,Speeks,Bigender,4
220,1220,Booth,Organ,Female,2
221,1221,Algernon,Spini,Male,1
222,1222,Rivi,Ivatt,Non-binary,4
223,1223,Othello,Illes,Female,2
224,1224,Katalin,Nellis,Genderfluid,1
225,1225,Wilona,Heinecke,Bigender,2
226,1226,Seth,Jillis,Genderfluid,1
227,1227,Horatia,Collet,Genderfluid,4
228,1228,Reta,Meneur,Genderfluid,4
229,1229,Johann,Lindroos,Male,3
230,1230,Luella,Stollmeier,Female,3
231,1231,Aurthur,L'Hommeau,Genderfluid,2
232,1232,Kev,Mitford,Genderqueer,4
233,1233,Creigh,Britt,Polygender,3
234,1234,Farlee,Calloway,Non-binary,3
235,1235,Ciel,Dowry,Male,1
236,1236,Lora,Necrews,Male,4
237,1237,Kelcie,Wildman,Bigender,4
238,1238,Galen,Foynes,Polygender,3
239,1239,Oswell,MacCarrane,Polygender,4
240,1240,Pauli,Ibbetson,Agender,4
241,1241,Rea,McGarrity,Non-binary,2
242,1242,Dix,Renol,Agender,1
243,1243,Kirsti,Canada,Agender,1
244,1244,Brittani,Dunleavy,Genderfluid,1
245,1245,Adriena,Lipgens,Non-binary,1
246,1246,Camala,Villa,Bigender,3
247,1247,Lynnet,Liversidge,Female,1
248,1248,Sidney,Ronchi,Genderqueer,3
249,1249,Carver,Castagnasso,Male,1
250,1250,Deerdre,Wasson,Genderfluid,2
251,1251,Polly,Oliffe,Genderfluid,1
252,1252,Madalyn,Beining,Female,3
253,1253,Mureil,Truelock,Male,2
254,1254,Bran,Daniele,Genderfluid,3
255,1255,Olly,Wais,Genderqueer,3
256,1256,Kendricks,Swinburn,Genderqueer,2
257,1257,Godfrey,Coulthard,Non-binary,3
258,1258,Kelly,Rany,Agender,4
259,1259,Lorne,O'Reilly,Genderqueer,1
260,1260,Hollis,Pauleau,Genderqueer,2
261,1261,Fey,Whittle,Genderfluid,1
262,1262,Godfree,Marty,Bigender,3
263,1263,Garry,Brasener,Bigender,4
264,1264,Leopold,Vanacci,Bigender,3
265,1265,Carine,Raimbauld,Polygender,2
266,1266,Bronny,Gimblett,Polygender,1
267,1267,Gaston,Waleworke,Non-binary,2
268,1268,Jeromy,Lebel,Male,2
269,1269,Noreen,Harsnep,Genderfluid,2
270,1270,Sunshine,Lippiatt,Male,4
271,1271,Krystalle,Saull,Genderfluid,1
272,1272,Casey,Conochie,Bigender,4
273,1273,Quincey,Keddey,Genderqueer,2
274,1274,Vannie,Gogie,Female,3
275,1275,Grace,Carmen,Female,3
276,1276,Fabio,Ostler,Bigender,1
277,1277,Artemis,Casbolt,Non-binary,3
278,1278,Elden,Birdall,Non-binary,1
279,1279,Loretta,Treleaven,Male,2
280,1280,Gherardo,Lanktree,Non-binary,2
281,1281,Jocelyne,Ivain,Male,2
282,1282,Otto,Berks,Bigender,4
283,1283,Swen,Callender,Genderqueer,2
284,1284,Linnea,Jakubovics,Bigender,1
285,1285,Elsi,Vanns,Female,3
286,1286,Donalt,Stoter,Male,3
287,1287,Janos,Lanigan,Genderfluid,3
288,1288,Roxane,Barti,Male,1
289,1289,Emmy,Jallin,Genderfluid,1
290,1290,Jessey,Croot,Genderqueer,2
291,1291,Anders,Nial,Non-binary,3
292,1292,Doralia,Manes,Polygender,4
293,1293,Lexis,Nuttey,Genderqueer,2
294,1294,Michelina,Cowper,Polygender,1
295,1295,Tedda,Gwynn,Bigender,4
296,1296,Putnem,Kacheler,Polygender,2
297,1297,Waylon,Davidovics,Genderqueer,3
298,1298,Guilbert,Beetles,Genderqueer,4
299,1299,Quinn,Seneschal,Polygender,1
300,1300,Abigale,Mertsching,Non-binary,2
301,1301,Selestina,Jerrom,Polygender,3
302,1302,Desiree,Byars,Agender,2
303,1303,Meara,Mallan,Agender,2
304,1304,Barrett,Lawday,Genderfluid,2
305,1305,Fraser,Nardi,Genderqueer,4
306,1306,Evaleen,O'Rowane,Polygender,4
307,1307,Boony,Botcherby,Genderqueer,2
308,1308,Bess,Berntssen,Agender,4
309,1309,Rafaela,Franey,Polygender,1
310,1310,Cornela,Venn,Bigender,3
311,1311,Annadiane,Cradoc,Genderfluid,1
312,1312,Hastie,Tomich,Bigender,3
313,1313,Nani,Carryer,Agender,1
314,1314,Sydney,Poulgreen,Genderfluid,4
315,1315,Alethea,Robelow,Polygender,4
316,1316,Dylan,Simonitto,Non-binary,3
317,1317,Bernie,Kirkbright,Bigender,2
318,1318,Maximo,Kubicek,Male,4
319,1319,Timothee,Gatecliff,Polygender,1
320,1320,Branden,Shillum,Bigender,3
321,1321,Mirabel,Domek,Bigender,1
322,1322,Mela,Langan,Male,1
